Position: 54.37101505 18.61400261
ac: 0.07457903 2.0427935 3.3500433
ac: -1.0269692 -0.6142616 3.1252537
ac: -0.39436623 -1.597017 2.5286942
ac: -0.25628474 -1.0757859 -1.4528499
ac: 0.12771511 -0.0087406635 -3.4448757
ac: 0.56855917 0.43433905 -2.8716063
ac: 0.0668942 0.06283808 -1.2312212
ac: 1.1247103 -0.2841661 -0.14128971
ac: 0.71566606 -0.3489561 2.1763067
Position: 54.37108138 18.61363069
ac: 3.2061985 -0.6331916 3.7656746
ac: -0.5449681 -1.9457282 1.3335199
ac: 1.5994655 0.19048691 0.89173794
ac: -0.6960929 0.26324606 -3.8637023
ac: -0.88399464 0.8352432 -4.7348003
ac: -1.8150939 1.5893273 -1.173852
ac: -1.2899282 1.6767964 3.0334272
ac: 0.22443865 1.7699265 4.563342
ac: 0.026323512 1.0159123 5.005847
ac: -0.8900622 -0.5931678 0.23643112
ac: 0.36558276 -0.54185104 -0.06599617
ac: 0.1956808 0.22209835 -2.0279121
ac: 1.2566339 0.16270924 -3.5985088
ac: 1.1444142 0.16935062 -2.1863894
ac: 0.102543354 -0.2901826 -1.3445511
ac: 0.91285473 -0.9618404 3.2903051
ac: 1.4336457 1.205967 3.7588053
ac: -0.7878029 -1.4645162 6.2241497
Position: 54.37108138 18.61363069
ac: 2.708898 -0.5631056 -2.4933019
ac: 1.3175706 -0.06874561 -4.0743027
ac: 0.64371574 0.16262555 -4.424589
ac: -2.475698 0.95408535 -1.603426
ac: -2.12108 1.591604 1.0931997
ac: -2.383851 2.055615 3.0385218
ac: -1.9576417 1.7246213 1.8302708
ac: -0.43114626 0.1490941 1.8351908
ac: -0.33032167 -0.115540504 2.2525282
ac: -0.18724072 -1.0060463 -0.41307735
ac: 0.4313777 -1.1162763 -2.9373913
ac: 1.582553 -1.0734489 -4.136225
ac: 0.19471407 -0.7160597 -0.69190407
ac: -0.07870096 -0.78271437 2.1851673
ac: -0.026938021 -0.04391527 4.4970407
