ac: 0.009674415 0.15832424 0.059516907
ac: -0.0020545274 0.14068508 0.046329975
ac: 0.010427132 0.12804127 0.06687212
ac: -0.002589807 0.14499187 0.05805397
ac: -0.0060596615 0.11819458 0.061362267
ac: 0.02199775 0.14703178 0.05513525
ac: -8.9915097E-4 0.13909721 0.02369976
ac: 0.009613484 0.15131664 0.074076176
ac: -0.015097916 0.13633156 0.06450224
ac: 0.00734365 0.13602066 0.035217285
ac: 0.015573487 0.13118935 0.049168587
ac: -0.013970301 0.14788055 0.07496071
ac: -1.5059114E-4 0.12925625 0.079900265
ac: 0.0019229949 0.15444756 0.06665516
ac: 0.007928893 0.11777878 0.079553604
ac: -0.0058092773 0.13858604 0.06602001
ac: -0.005111128 0.13615322 0.060737133
ac: -4.286766E-4 0.13613701 0.05779171
Position: 54.36985128 18.60727819
ac: -0.0071506053 0.15703964 0.0662508
ac: 7.29844E-4 0.1413393 0.09582567
ac: -0.02022037 0.12595272 0.07866669
ac: -0.021716595 0.15222645 0.07701206
ac: 0.006670341 0.12365532 0.0689435
ac: 2.6741624E-4 0.12655449 0.10092974
ac: -0.00853613 0.13542461 0.07837343
ac: -0.026872806 0.15228653 0.053049564
ac: -0.002361253 0.14305973 0.07566786
ac: -0.0014930964 0.118720055 0.07461882
ac: 0.016124755 0.12040138 0.065859795
ac: -0.005235493 0.13073063 0.060720444
ac: 0.0076331943 0.13416195 0.067585945
ac: -0.009225503 0.15260315 0.06603336
ac: 0.010527089 0.14389038 0.106194496
ac: 0.0027123243 0.12901402 0.08686781
ac: -0.009779125 0.12307453 0.07843828
ac: -0.0015964806 0.142025 0.08237219
Position: 54.36985128 18.60727819
ac: -0.0071506053 0.15703964 0.0662508
ac: 7.29844E-4 0.1413393 0.09582567
ac: -0.02022037 0.12595272 0.07866669
ac: -0.021716595 0.15222645 0.07701206
ac: 0.006670341 0.12365532 0.0689435
ac: 2.6741624E-4 0.12655449 0.10092974
ac: -0.00853613 0.13542461 0.07837343
ac: -0.026872806 0.15228653 0.053049564
ac: -0.002361253 0.14305973 0.07566786
ac: -0.0014930964 0.118720055 0.07461882
ac: 0.016124755 0.12040138 0.065859795
ac: -0.005235493 0.13073063 0.060720444
ac: 0.0076331943 0.13416195 0.067585945
ac: -0.009225503 0.15260315 0.06603336
ac: 0.010527089 0.14389038 0.106194496
ac: 0.0027123243 0.12901402 0.08686781
ac: -0.009779125 0.12307453 0.07843828
ac: -0.0015964806 0.142025 0.08237219
ac: -0.0069593936 0.13105774 0.076723576
ac: 0.006047398 0.13629436 0.054265022
ac: -0.0014081895 0.14096355 0.09283447
ac: 0.012715101 0.15489197 0.053696156
ac: -0.008101329 0.1362791 0.09446621
ac: -0.005619511 0.13810825 0.077629566
ac: -0.0075813234 0.14018345 0.080631256
ac: 6.3587725E-4 0.13945007 0.06364632
ac: -0.0060142875 0.16139984 0.070011616
ac: 0.01354067 0.13493538 0.06482077
ac: 0.010279402 0.14000797 0.05942154
ac: 0.009214625 0.14525127 0.062054157
ac: 0.011596113 0.14671612 0.043600082
ac: -0.013361499 0.1566515 0.06085682
ac: 0.002930209 0.15733528 0.033127308
ac: -0.0025195181 0.1467762 0.09311342
ac: -0.0014605075 0.15137577 0.04320669
ac: 0.025944948 0.14226532 0.04944706
ac: 0.009868771 0.14813042 0.062871456
Position: 54.36985128 18.60727819
ac: 0.008494198 0.13354778 0.09269333
ac: 0.0030914694 0.1592617 0.087991714
ac: -0.004720092 0.14648342 0.08601236
ac: 0.0064299554 0.14581013 0.029917717
ac: 0.0038826168 0.14623356 0.04106617
ac: -0.00512816 0.14152622 0.083366394
ac: -0.0051680505 0.13518524 0.06553888
ac: -0.01149337 0.1276989 0.08769035
ac: 0.0117510855 0.15409565 0.061854362
ac: -0.008672178 0.12689018 0.062350273
ac: 0.004583463 0.13781548 0.0739851
ac: -0.0061165094 0.13593864 0.08075333
ac: -0.009440601 0.1473751 0.08119583
ac: 0.002789691 0.13851452 0.1030345
ac: -0.0054495633 0.15133286 0.057044983
ac: 0.0044929236 0.15031242 0.05968523
ac: 0.012515351 0.1310997 0.06522083
ac: 0.025093675 0.12932491 0.09329939
Position: 54.3698605 18.60731273
ac: 0.0033715963 0.15859795 0.05931282
ac: 0.003932312 0.13363266 0.1086936
ac: 0.008511439 0.123420715 0.06569672
ac: -0.011585876 0.12961102 0.058708668
ac: 0.0027167052 0.15172768 0.04741335
ac: 0.011518151 0.12902164 0.088038445
ac: 0.0114315 0.14592552 0.06494856
